timestamp,time,actionEye,actionUperFace,powerUpperFace,actionLowerFace,powerLowerFace
1739917874,31:14.0,neutral,frown,0.95,clench,0.8
1739917874,31:14.1,neutral,frown,0.95,clench,0.8
1739917874,31:14.1,neutral,frown,0.95,clench,0.8
1739917874,31:14.1,neutral,frown,0.95,clench,0.8
1739917874,31:14.2,neutral,frown,0.95,clench,0.8
1739917874,31:14.2,neutral,frown,0.95,clench,0.8
1739917874,31:14.2,neutral,frown,0.95,clench,0.8
1739917874,31:14.3,neutral,frown,0.95,clench,0.8
1739917874,31:14.3,neutral,frown,0.95,clench,0.8
1739917874,31:14.3,neutral,frown,0.95,clench,0.8
1739917874,31:14.4,neutral,frown,0.95,clench,0.8
1739917874,31:14.4,neutral,frown,0.95,clench,0.8
1739917874,31:14.4,neutral,frown,0.95,clench,0.8
1739917874,31:14.5,neutral,frown,0.95,clench,0.8
1739917874,31:14.5,neutral,frown,0.95,clench,0.8
1739917875,31:14.5,neutral,frown,0.95,clench,0.8
1739917875,31:14.6,neutral,frown,0.95,clench,0.8
1739917875,31:14.6,neutral,frown,0.95,clench,0.8
1739917875,31:14.6,neutral,frown,0.95,clench,0.8
1739917875,31:14.6,neutral,frown,0.95,clench,0.8
1739917875,31:14.7,neutral,frown,0.95,clench,0.8
1739917875,31:14.7,neutral,frown,0.95,clench,0.8
1739917875,31:14.7,neutral,frown,0.95,clench,0.8
1739917875,31:14.8,neutral,frown,0.95,clench,0.8
1739917875,31:14.8,neutral,frown,0.95,clench,0.8
1739917875,31:14.8,neutral,frown,0.95,clench,0.8
1739917875,31:14.9,neutral,frown,0.95,clench,0.8
1739917875,31:14.9,neutral,frown,0.95,clench,0.8
1739917875,31:14.9,neutral,frown,0.95,clench,0.8
1739917875,31:15.0,neutral,frown,0.95,clench,0.8
1739917875,31:15.0,neutral,frown,0.95,clench,0.8
1739917875,31:15.0,neutral,frown,0.95,clench,0.8
1739917875,31:15.0,neutral,frown,0.95,clench,0.8
1739917875,31:15.1,neutral,frown,0.95,clench,0.8
1739917875,31:15.1,neutral,frown,0.95,clench,0.8
1739917875,31:15.1,neutral,frown,0.95,clench,0.8
1739917875,31:15.2,neutral,frown,0.95,clench,0.8
1739917875,31:15.2,neutral,frown,0.95,clench,0.8
1739917875,31:15.2,neutral,frown,0.95,clench,0.8
1739917875,31:15.3,neutral,frown,0.95,clench,0.8
1739917875,31:15.3,neutral,frown,0.95,clench,0.8
1739917875,31:15.3,neutral,frown,0.95,clench,0.8
1739917875,31:15.4,neutral,frown,0.95,clench,0.8
1739917875,31:15.4,neutral,frown,0.95,clench,0.8
1739917875,31:15.4,neutral,frown,0.95,clench,0.8
1739917875,31:15.5,neutral,frown,0.95,clench,0.8
1739917875,31:15.5,neutral,frown,0.95,clench,0.8
1739917876,31:15.5,neutral,frown,0.95,clench,0.8
1739917876,31:15.5,neutral,frown,0.95,clench,0.8
1739917876,31:15.6,neutral,frown,0.95,clench,0.8
1739917876,31:15.6,neutral,frown,0.95,clench,0.8
1739917876,31:15.6,neutral,frown,0.95,clench,0.8
1739917876,31:15.7,neutral,frown,0.95,clench,0.8
1739917876,31:15.7,neutral,frown,0.95,clench,0.8
1739917876,31:15.7,neutral,frown,0.95,clench,0.8
1739917876,31:15.8,neutral,frown,0.95,clench,0.8
1739917876,31:15.8,neutral,frown,0.95,clench,0.8
1739917876,31:15.8,neutral,frown,0.95,clench,0.8
1739917876,31:15.9,neutral,frown,0.95,clench,0.8
1739917876,31:15.9,neutral,frown,0.95,clench,0.8
1739917876,31:15.9,neutral,frown,0.95,clench,0.8
1739917876,31:16.0,neutral,frown,0.95,clench,0.8
1739917876,31:16.0,neutral,frown,0.95,clench,0.8
1739917876,31:16.0,neutral,frown,0.95,clench,0.8
1739917876,31:16.1,neutral,frown,0.95,clench,0.8
1739917876,31:16.1,neutral,frown,0.95,clench,0.8
1739917876,31:16.1,neutral,frown,0.95,clench,0.8
1739917876,31:16.1,neutral,frown,0.95,clench,0.8
1739917876,31:16.2,neutral,frown,0.95,clench,0.8
1739917876,31:16.2,neutral,frown,0.95,clench,0.8
1739917876,31:16.2,neutral,frown,0.95,clench,0.8
1739917876,31:16.3,neutral,frown,0.95,clench,0.8
1739917876,31:16.3,neutral,frown,0.95,clench,0.8
1739917876,31:16.3,neutral,frown,0.95,clench,0.8
1739917876,31:16.4,neutral,frown,0.95,clench,0.8
1739917876,31:16.4,neutral,frown,0.95,clench,0.8
1739917876,31:16.4,neutral,frown,0.95,clench,0.8
1739917876,31:16.5,neutral,frown,0.95,clench,0.8
1739917876,31:16.5,neutral,frown,0.95,clench,0.8
1739917877,31:16.5,neutral,frown,0.95,clench,0.8
1739917877,31:16.5,neutral,frown,0.95,clench,0.8
1739917877,31:16.6,neutral,frown,0.95,clench,0.8
1739917877,31:16.6,neutral,frown,0.95,clench,0.8
1739917877,31:16.6,neutral,frown,0.95,clench,0.8
1739917877,31:16.7,neutral,frown,0.95,clench,0.8
1739917877,31:16.7,neutral,frown,0.95,clench,0.8
1739917877,31:16.7,neutral,frown,0.95,clench,0.8
1739917877,31:16.8,neutral,frown,0.95,clench,0.8
1739917877,31:16.8,neutral,frown,0.95,clench,0.8
